event,tag,sport,sport_code,sport_url,venue_name,venue_lat,venue_long,venue_name_clean
Women +67kg,taekwondo,Taekwondo,TKW,https://olympics.com/en/paris-2024/sports/taekwondo,Grand Palais (Taekwondo),48.8661614,2.3122229,Grand Palais
Men's Singles,tennis,Tennis,TEN,https://olympics.com/en/paris-2024/sports/tennis,Stade Roland-Garros (Tennis),48.846869,2.2484179,Stade Roland-Garros
Women's Singles,tennis,Tennis,TEN,https://olympics.com/en/paris-2024/sports/tennis,Stade Roland-Garros (Tennis),48.846869,2.2484179,Stade Roland-Garros
Men's Doubles,tennis,Tennis,TEN,https://olympics.com/en/paris-2024/sports/tennis,Stade Roland-Garros (Tennis),48.846869,2.2484179,Stade Roland-Garros
Women's Doubles,tennis,Tennis,TEN,https://olympics.com/en/paris-2024/sports/tennis,Stade Roland-Garros (Tennis),48.846869,2.2484179,Stade Roland-Garros
Mixed Doubles,tennis,Tennis,TEN,https://olympics.com/en/paris-2024/sports/tennis,Stade Roland-Garros (Tennis),48.846869,2.2484179,Stade Roland-Garros
Men,trampoline-gymnastics,Trampoline Gymnastics,GTR,https://olympics.com/en/paris-2024/sports/trampoline-gymnastics,Accor Arena,48.8387085,2.3787666,Accor Arena
Women,trampoline-gymnastics,Trampoline Gymnastics,GTR,https://olympics.com/en/paris-2024/sports/trampoline-gymnastics,Accor Arena,48.8387085,2.3787666,Accor Arena
Women's Individual,triathlon,Triathlon,TRI,https://olympics.com/en/paris-2024/sports/triathlon,Seine & Paris city routes (Triathlon),,,Seine & Paris city routes
Men's Individual,triathlon,Triathlon,TRI,https://olympics.com/en/paris-2024/sports/triathlon,Seine & Paris city routes (Triathlon),,,Seine & Paris city routes
Mixed Relay,triathlon,Triathlon,TRI,https://olympics.com/en/paris-2024/sports/triathlon,Seine & Paris city routes (Triathlon),,,Seine & Paris city routes
Men,volleyball,Volleyball,VVO,https://olympics.com/en/paris-2024/sports/volleyball,Porte de Versailles (Volleyball),48.8324338,2.2879537,Porte de Versailles
Women,volleyball,Volleyball,VVO,https://olympics.com/en/paris-2024/sports/volleyball,Porte de Versailles (Volleyball),48.8324338,2.2879537,Porte de Versailles
Men,water-polo,Water Polo,WPO,https://olympics.com/en/paris-2024/sports/water-polo,Centre Aquatique Olympique Métropole du Grand Paris (Water Polo),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women,water-polo,Water Polo,WPO,https://olympics.com/en/paris-2024/sports/water-polo,Centre Aquatique Olympique Métropole du Grand Paris (Water Polo),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 49kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting,Porte de Versailles (Weightlifting),48.8324338,2.2879537,Porte de Versailles
Women's 59kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting,Porte de Versailles (Weightlifting),48.8324338,2.2879537,Porte de Versailles
Women's 71kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting,Porte de Versailles (Weightlifting),48.8324338,2.2879537,Porte de Versailles
Women's 81kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting,Porte de Versailles (Weightlifting),48.8324338,2.2879537,Porte de Versailles
Women's +81kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting,Porte de Versailles (Weightlifting),48.8324338,2.2879537,Porte de Versailles
Men's 61kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting,Porte de Versailles (Weightlifting),48.8324338,2.2879537,Porte de Versailles
Men's 73kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting,Porte de Versailles (Weightlifting),48.8324338,2.2879537,Porte de Versailles
Men's 89kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting,Porte de Versailles (Weightlifting),48.8324338,2.2879537,Porte de Versailles
Men's 102kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting,Porte de Versailles (Weightlifting),48.8324338,2.2879537,Porte de Versailles
