event,tag,sport,sport_code,sport_url,venue_name,venue_lat,venue_long,venue_name_clean
Women -48 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Champ de Mars (Judo),48.8561446,2.2978204,Champ de Mars
Women -52 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Champ de Mars (Judo),48.8561446,2.2978204,Champ de Mars
Women -57 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Champ de Mars (Judo),48.8561446,2.2978204,Champ de Mars
Women -63 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Champ de Mars (Judo),48.8561446,2.2978204,Champ de Mars
Women -70 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Champ de Mars (Judo),48.8561446,2.2978204,Champ de Mars
Women -78 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Champ de Mars (Judo),48.8561446,2.2978204,Champ de Mars
Women +78 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Champ de Mars (Judo),48.8561446,2.2978204,Champ de Mars
Men -60 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Champ de Mars (Judo),48.8561446,2.2978204,Champ de Mars
Men -66 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Champ de Mars (Judo),48.8561446,2.2978204,Champ de Mars
Men -73 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Champ de Mars (Judo),48.8561446,2.2978204,Champ de Mars
Men -81 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Champ de Mars (Judo),48.8561446,2.2978204,Champ de Mars
Men -90 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Champ de Mars (Judo),48.8561446,2.2978204,Champ de Mars
Men -100 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Champ de Mars (Judo),48.8561446,2.2978204,Champ de Mars
Men +100 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Champ de Mars (Judo),48.8561446,2.2978204,Champ de Mars
Mixed Team,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Champ de Mars (Judo),48.8561446,2.2978204,Champ de Mars
Women's 10km,marathon-swimming,Marathon Swimming,OWS,https://olympics.com/en/paris-2024/sports/marathon-swimming,Seine River,48.8525768,2.3578407,Seine River
Men's 10km,marathon-swimming,Marathon Swimming,OWS,https://olympics.com/en/paris-2024/sports/marathon-swimming,Seine River,48.8525768,2.3578407,Seine River
Women's Individual,modern-pentathlon,Modern Pentathlon,MPN,https://olympics.com/en/paris-2024/sports/modern-pentathlon,Several Locations,,,Several Locations
Men's Individual,modern-pentathlon,Modern Pentathlon,MPN,https://olympics.com/en/paris-2024/sports/modern-pentathlon,Several Locations,,,Several Locations
Individual All-Around,rhythmic-gymnastics,Rhythmic Gymnastics,GRY,https://olympics.com/en/paris-2024/sports/rhythmic-gymnastics,Porte de la Chapelle,48.8977035,2.3594563,Porte de la Chapelle
Group All-Around,rhythmic-gymnastics,Rhythmic Gymnastics,GRY,https://olympics.com/en/paris-2024/sports/rhythmic-gymnastics,Porte de la Chapelle,48.8977035,2.3594563,Porte de la Chapelle
Women's Pair,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Vaires-sur-Marne (Rowing)48.52001,2.39,Vaires-sur-Marne
Men's Pair,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Vaires-sur-Marne (Rowing)48.52001,2.39,Vaires-sur-Marne
Women's Double Sculls,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Vaires-sur-Marne (Rowing)48.52001,2.39,Vaires-sur-Marne
Men's Double Sculls,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Vaires-sur-Marne (Rowing)48.52001,2.39,Vaires-sur-Marne
Women's Four,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Vaires-sur-Marne (Rowing)48.52001,2.39,Vaires-sur-Marne
Men's Four,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Vaires-sur-Marne (Rowing)48.52001,2.39,Vaires-sur-Marne
Women's Single Sculls,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Vaires-sur-Marne (Rowing)48.52001,2.39,Vaires-sur-Marne
Men's Single Sculls,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Vaires-sur-Marne (Rowing)48.52001,2.39,Vaires-sur-Marne
Lightweight Women's Double Sculls,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Vaires-sur-Marne (Rowing)48.52001,2.39,Vaires-sur-Marne
Lightweight Men's Double Sculls,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Vaires-sur-Marne (Rowing)48.52001,2.39,Vaires-sur-Marne
Women's Quadruple Sculls,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Vaires-sur-Marne (Rowing)48.52001,2.39,Vaires-sur-Marne
Men's Quadruple Sculls,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Vaires-sur-Marne (Rowing)48.52001,2.39,Vaires-sur-Marne
Women's Eight,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Vaires-sur-Marne (Rowing)48.52001,2.39,Vaires-sur-Marne
Men's Eight,rowing,Rowing,ROW,https://olympics.com/en/paris-2024/sports/rowing,Vaires-sur-Marne (Rowing)48.52001,2.39,Vaires-sur-Marne
Men,rugby-sevens,Rugby Sevens,RU7,https://olympics.com/en/paris-2024/sports/rugby-sevens,Stade de France,48.8557562,2.3535027,Stade de France
Women,rugby-sevens,Rugby Sevens,RU7,https://olympics.com/en/paris-2024/sports/rugby-sevens,Stade de France,48.8557562,2.3535027,Stade de France
Men's Windsurfing,sailing,Sailing,SAL,https://olympics.com/en/paris-2024/sports/sailing,Marseille (Sailing),48.8642313,2.3212492,Marseille
